Date,Content,Comment
2025-08-20,https://boxd.it/aNDjHH,Give a try for <b>Kaatrin Mozhi. </b>A tamil film directed by radha mohan. (If you already watched that film it's okay).
2025-09-25,https://boxd.it/b6hXxp,No need to be sorry without flashbacks no one would yap about akaza's good phase of life and what he lost ! Don't be sorry for someone's portraying about the film. It's a w one !!
2025-10-16,https://boxd.it/9t1vPJ,Lol 4-5 movies damn that's crazy.. btw all the best for your board exams. Will wait till you watch gone girl for exchange of reviews.
2025-10-17,https://boxd.it/9t1vPJ,Nice !
2025-11-16,https://boxd.it/bsFBJJ,Indha padatha 🌸nda maari eduthuadhu therinjum Ipa ponnunga propose pandradhu dha unga prachanaya 🤣🙏. Padam waste dha but absolute meme material. Idhu maari films Tamil Padam-3 ku use avum Anga unga kovatha karachidunga.
2026-06-04,https://boxd.it/eDfCCP,Typical noon shows 🥀🥀
2026-06-20,https://boxd.it/eQURW5,Alr
2026-06-22,https://boxd.it/eSYRqf,"what if your dad ask this :- why are you gay ???? my macha TM is not like that da!!!!
"
