Date,Name,Year,Letterboxd URI
2024-12-18,Mirchi,2013,https://boxd.it/5pUW
2024-12-20,Viduthalai: Part I,2023,https://boxd.it/tzzM
2024-12-22,Pushpa 2 - The Rule,2024,https://boxd.it/wooY
2024-12-23,Pogumidam Vegu Thooramillai,2024,https://boxd.it/OLE2
2024-12-24,50/50,2011,https://boxd.it/10Tw
2025-01-06,Viduthalai: Part II,2024,https://boxd.it/CAee
2025-01-10,Manspread,2024,https://boxd.it/S7cU
2025-01-11,Moondram Pirai,1982,https://boxd.it/8lq
2025-01-12,Kabhi Khushi Kabhie Gham,2001,https://boxd.it/1Vtg
2025-01-13,Hum Aapke Hain Koun..!,1994,https://boxd.it/NiC
2025-01-14,Rogan Josh,2018,https://boxd.it/lk5Q
2025-01-14,Two,1965,https://boxd.it/5MnG
2025-01-16,Arunachalam,1997,https://boxd.it/8IE
2025-01-18,The Song of Sparrows,2008,https://boxd.it/uJY
2025-01-18,Indian 2: Zero Tolerance,2024,https://boxd.it/kbw2
2025-01-19,Padayappa,1999,https://boxd.it/JvC
2025-01-23,Flamin' Hot,2023,https://boxd.it/nbEc
2025-01-24,MAX,2024,https://boxd.it/HnxW
2025-01-25,Game Changer,2025,https://boxd.it/uzQg
2025-01-26,Madha Gaja Raja,2025,https://boxd.it/8EuA
2025-01-27,Animal,2023,https://boxd.it/toAu
2025-01-28,Monte Carlo,2011,https://boxd.it/hqk
2025-01-31,Hope,2013,https://boxd.it/7x5Q
2025-02-02,Mumbai Xpress,2005,https://boxd.it/2hT6
2025-02-02,Kudumbasthan,2025,https://boxd.it/QiHK
2025-02-04,Bata Boy and Crocs Girl,2025,https://boxd.it/SoFa
2025-02-07,Malargal Kaeten,2024,https://boxd.it/SC7Q
2025-02-11,Thulladha Manamum Thullum,1999,https://boxd.it/2JcO
2025-02-14,Kadhalikka Neramillai,2025,https://boxd.it/JZWu
2025-02-18,Kishkindha Kaandam,2024,https://boxd.it/CLOM
2025-02-19,Please Hold,2020,https://boxd.it/rPGU
2025-02-21,Love Reset,2023,https://boxd.it/DPma
2025-02-23,Dragon,2025,https://boxd.it/Mxns
2025-03-01,Kill,2023,https://boxd.it/HTqS
2025-03-01,Kadhala Kadhala,1998,https://boxd.it/8rS
2025-03-02,(500) Days of Summer,2009,https://boxd.it/1EmM
2025-03-11,Vaaranam Aayiram,2008,https://boxd.it/15yo
2025-03-12,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2025-03-15,Rough Cut,2008,https://boxd.it/1Ipq
2025-03-16,Hey Ram,2000,https://boxd.it/fGg
2025-03-18,Memento,2000,https://boxd.it/2bcK
2025-03-24,Ayla: The Daughter of War,2017,https://boxd.it/gWyw
2025-03-25,Fanaa,2006,https://boxd.it/207O
2025-03-30,Mr. Housekeeping,2025,https://boxd.it/SEeO
2025-03-30,Home,2018,https://boxd.it/loLm
2025-03-30,Ponman,2025,https://boxd.it/LiKa
2025-04-01,Requiem for a Dream,2000,https://boxd.it/29VI
2025-04-11,Good Bad Ugly,2025,https://boxd.it/M11k
2025-04-13,Rose Island,2020,https://boxd.it/nBlq
2025-04-13,Thillu Mullu,1981,https://boxd.it/8jk
2025-04-14,Iruvar,1997,https://boxd.it/H2o
2025-04-14,Alappuzha Gymkhana,2025,https://boxd.it/LmgI
2025-04-16,Aarilirunthu Arubathu Varai,1979,https://boxd.it/8y0
2025-04-18,The Internship,2013,https://boxd.it/3SWS
2025-04-19,In Time,2011,https://boxd.it/FPS
2025-04-19,Veera Dheera Sooran: Part 2,2025,https://boxd.it/JsRc
2025-04-21,Kaakha Kaakha,2003,https://boxd.it/aQvk
2025-04-27,Jodhaa Akbar,2008,https://boxd.it/1OOw
2025-04-27,Hustle,2022,https://boxd.it/qpig
2025-04-27,The Lunchbox,2013,https://boxd.it/5MOs
2025-04-28,Manmadhan Ambu,2010,https://boxd.it/ysM
2025-05-01,Maamannan,2023,https://boxd.it/yaLS
